2019-03-01,300.3755000000006
2019-03-02,321.3564000000006
2019-03-03,317.8495000000006
2019-03-04,304.65220000000056
2019-03-05,306.7086000000006
2019-03-06,310.59020000000027
2019-03-07,303.6137000000004
2019-03-08,328.4674000000011
2019-03-09,307.8223000000007
2019-03-10,301.8178000000003
2019-03-11,315.7889000000005
2019-03-12,301.1866000000012
2019-03-13,311.1143000000005
2019-03-14,310.19620000000083
2019-03-15,313.5200000000007
2019-03-16,298.82200000000023
2019-03-17,303.18700000000086
2019-03-18,304.7812000000006
2019-03-19,314.4824000000009
2019-03-20,314.6635000000006
2019-03-21,306.63370000000043
2019-03-22,301.54590000000053
2019-03-23,311.77240000000063
2019-03-24,311.95830000000024
2019-03-25,317.33860000000084
2019-03-26,318.5778000000004
2019-03-27,308.6341000000006
2019-03-28,304.0963000000004
2019-03-29,306.83050000000065
